Transaction_ID,Category,Sub_Category,Region,Season,Units_Sold,Unit_Cost,Unit_Price,Inventory_Days,Revenue,Cost,Profit
6390,Furniture,Chairs,East,Winter,65,300.44,273.04,84,17747.600000000002,19528.6,-1780.9999999999964
9322,Furniture,Chairs,South,Spring,6,362.39,563.75,139,3382.5,2174.34,1208.1599999999999
2184,Groceries,Fruits,West,Summer,26,8.5,23.61,68,613.86,221.0,392.86
3047,Furniture,Tables,West,Winter,84,120.22,63.46,199,5330.64,10098.48,-4767.839999999999
2267,Furniture,Sofas,West,Spring,7,430.67,411.38,82,2879.66,3014.69,-135.0300000000002
9792,Furniture,Tables,West,Summer,13,12.9,146.23,101,1900.9899999999998,167.70000000000002,1733.2899999999997
1775,Furniture,Sofas,East,Autumn,82,198.58,117.52,141,9636.64,16283.560000000001,-6646.920000000002
4843,Clothing,Trousers,South,Spring,67,421.93,275.35,199,18448.45,28269.31,-9820.86
8629,Groceries,Vegetables,East,Winter,66,166.04,239.32,91,15795.119999999999,10958.64,4836.48
5887,Furniture,Chairs,South,Spring,64,273.63,93.15,24,5961.6,17512.32,-11550.72
9006,Electronics,Mobile,North,Winter,5,103.36,13.26,148,66.3,516.8,-450.49999999999994
1391,Furniture,Chairs,East,Autumn,37,304.95,556.52,50,20591.239999999998,11283.15,9308.089999999998
9392,Groceries,Beverages,West,Winter,38,52.23,228.78,71,8693.64,1984.7399999999998,6708.9
3731,Groceries,Fruits,West,Summer,95,282.82,235.93,184,22413.350000000002,26867.899999999998,-4454.549999999996
4840,Clothing,Jackets,North,Summer,18,249.43,318.41,24,5731.38,4489.74,1241.6400000000003
8035,Clothing,Trousers,North,Autumn,67,448.4,290.47,105,19461.49,30042.8,-10581.309999999998
8574,Groceries,Vegetables,East,Spring,19,379.0,144.99,169,2754.8100000000004,7201.0,-4446.19
4157,Furniture,Sofas,West,Summer,46,405.02,383.71,143,17650.66,18630.92,-980.2599999999984
6450,Groceries,Vegetables,West,Summer,96,181.37,545.03,138,52322.88,17411.52,34911.36
7776,Electronics,Headphones,West,Spring,7,8.44,311.34,146,2179.3799999999997,59.08,2120.2999999999997
1663,Clothing,Shirts,East,Autumn,36,261.8,424.78,122,15292.079999999998,9424.800000000001,5867.279999999997
7585,Clothing,Shirts,West,Winter,43,251.14,187.52,122,8063.360000000001,10799.019999999999,-2735.659999999998
1698,Groceries,Fruits,North,Summer,6,208.46,29.5,138,177.0,1250.76,-1073.76
6249,Furniture,Tables,North,Winter,94,492.9,152.81,77,14364.14,46332.6,-31968.46
5218,Furniture,Sofas,North,Autumn,42,187.05,383.06,148,16088.52,7856.1,8232.42
5282,Furniture,Chairs,South,Winter,97,429.89,202.32,173,19625.04,41699.33,-22074.29
2986,Furniture,Tables,East,Autumn,24,324.36,112.88,170,2709.12,7784.64,-5075.52
3385,Groceries,Beverages,West,Spring,15,173.83,76.95,160,1154.25,2607.4500000000003,-1453.2000000000003
1262,Furniture,Tables,West,Winter,94,491.17,314.82,122,29593.079999999998,46169.98,-16576.900000000005
6423,Clothing,Shirts,South,Winter,73,450.71,383.53,18,27997.69,32901.83,-4904.140000000003
3255,Electronics,Headphones,East,Winter,28,205.23,533.78,125,14945.84,5746.44,9199.400000000001
6539,Furniture,Chairs,South,Winter,88,292.44,229.65,108,20209.2,25734.72,-5525.52
3961,Electronics,Mobile,West,Summer,86,245.38,274.57,198,23613.02,21102.68,2510.34
6699,Electronics,Mobile,North,Summer,25,93.52,226.22,145,5655.5,2338.0,3317.5
5496,Furniture,Sofas,West,Spring,52,51.37,226.95,128,11801.4,2671.24,9130.16
2693,Clothing,Trousers,South,Summer,55,446.56,382.37,30,21030.35,24560.8,-3530.4500000000007
8022,Clothing,Shirts,West,Spring,73,118.94,304.52,13,22229.96,8682.619999999999,13547.34
8679,Furniture,Chairs,North,Winter,96,237.62,174.94,15,16794.239999999998,22811.52,-6017.2800000000025
2060,Furniture,Chairs,West,Spring,50,483.49,578.54,125,28927.0,24174.5,4752.5
1980,Furniture,Chairs,West,Autumn,37,161.88,110.0,34,4070.0,5989.5599999999995,-1919.5599999999995
7709,Clothing,Jackets,South,Autumn,50,53.1,372.85,95,18642.5,2655.0,15987.5
8806,Furniture,Tables,East,Summer,6,164.66,510.72,146,3064.32,987.96,2076.36
8343,Furniture,Tables,East,Spring,46,405.63,487.97,162,22446.620000000003,18658.98,3787.640000000003
7971,Groceries,Fruits,South,Autumn,61,315.81,124.62,17,7601.820000000001,19264.41,-11662.59
5495,Groceries,Vegetables,South,Winter,91,18.67,351.53,41,31989.229999999996,1698.9700000000003,30290.259999999995
1853,Furniture,Sofas,East,Spring,62,273.61,179.06,67,11101.72,16963.82,-5862.1
5777,Clothing,Trousers,South,Autumn,58,270.86,202.72,17,11757.76,15709.880000000001,-3952.120000000001
6222,Electronics,Mobile,West,Summer,98,272.61,386.08,61,37835.84,26715.780000000002,11120.059999999994
5465,Groceries,Fruits,West,Summer,34,25.33,245.3,28,8340.2,861.2199999999999,7478.9800000000005
9932,Groceries,Vegetables,South,Spring,66,418.81,420.62,138,27760.920000000002,27641.46,119.46000000000276
